xcelium> run
Time=                   0 | SCL=1 | SDA=1 | END=xxxxxxx | OP=x | ESC=x | STOP=x
Time=                 500 | SCL=1 | SDA=1 | END=xxxxxxx | OP=x | ESC=0 | STOP=0
Time=                2000 | SCL=1 | SDA=1 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               11000 | SCL=1 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               16000 | SCL=0 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               19300 | SCL=0 | SDA=1 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               22600 | SCL=1 | SDA=1 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               25900 | SCL=0 | SDA=1 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               32500 | SCL=1 | SDA=1 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               35800 | SCL=0 | SDA=1 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               39100 | SCL=0 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               42400 | SCL=1 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               45700 | SCL=0 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               52300 | SCL=1 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               55600 | SCL=0 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               58900 | SCL=0 | SDA=1 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               62200 | SCL=1 | SDA=1 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               65500 | SCL=0 | SDA=1 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               68800 | SCL=0 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               72100 | SCL=1 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               75400 | SCL=0 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               82000 | SCL=1 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               85300 | SCL=0 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               91900 | SCL=1 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=               95200 | SCL=0 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=              101800 | SCL=1 | SDA=0 | END=0000000 | OP=0 | ESC=0 | STOP=0
Time=              103500 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=1 | STOP=0
Time=              104500 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              105100 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              111700 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              115000 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              116500 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=1
Time=              117500 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
