xcelium> run
Time=0, reset=1, valor_maximo=10, contagem= x, fim=x
Time=5, reset=1, valor_maximo=10, contagem= 0, fim=0
Time=10, reset=0, valor_maximo=10, contagem= 0, fim=0
Time=15, reset=0, valor_maximo=10, contagem= 1, fim=0
Time=25, reset=0, valor_maximo=10, contagem= 2, fim=0
Time=35, reset=0, valor_maximo=10, contagem= 3, fim=0
Time=45, reset=0, valor_maximo=10, contagem= 4, fim=0
Time=55, reset=0, valor_maximo=10, contagem= 5, fim=0
Time=65, reset=0, valor_maximo=10, contagem= 6, fim=0
Time=75, reset=0, valor_maximo=10, contagem= 7, fim=0
Time=85, reset=0, valor_maximo=10, contagem= 8, fim=0
Time=95, reset=0, valor_maximo=10, contagem= 9, fim=0
Time=105, reset=0, valor_maximo=10, contagem=10, fim=0
Time=115, reset=0, valor_maximo=10, contagem= 0, fim=1
Time=125, reset=0, valor_maximo=10, contagem= 1, fim=0
Time=135, reset=0, valor_maximo=10, contagem= 2, fim=0
Time=145, reset=0, valor_maximo=10, contagem= 3, fim=0
Time=155, reset=0, valor_maximo=10, contagem= 4, fim=0
Time=160, reset=1, valor_maximo= 3, contagem= 4, fim=0
Time=165, reset=1, valor_maximo= 3, contagem= 0, fim=0
Time=170, reset=0, valor_maximo= 3, contagem= 0, fim=0
Time=175, reset=0, valor_maximo= 3, contagem= 1, fim=0
Time=185, reset=0, valor_maximo= 3, contagem= 2, fim=0
Time=195, reset=0, valor_maximo= 3, contagem= 3, fim=0
Time=205, reset=0, valor_maximo= 3, contagem= 0, fim=1
Time=215, reset=0, valor_maximo= 3, contagem= 1, fim=0
Time=225, reset=0, valor_maximo= 3, contagem= 2, fim=0
Time=235, reset=0, valor_maximo= 3, contagem= 3, fim=0
Time=245, reset=0, valor_maximo= 3, contagem= 0, fim=1
Time=250, reset=1, valor_maximo=31, contagem= 0, fim=1
Time=255, reset=1, valor_maximo=31, contagem= 0, fim=0
Time=260, reset=0, valor_maximo=31, contagem= 0, fim=0
Time=265, reset=0, valor_maximo=31, contagem= 1, fim=0
Time=275, reset=0, valor_maximo=31, contagem= 2, fim=0
Time=285, reset=0, valor_maximo=31, contagem= 3, fim=0
Time=295, reset=0, valor_maximo=31, contagem= 4, fim=0
Time=305, reset=0, valor_maximo=31, contagem= 5, fim=0
Time=315, reset=0, valor_maximo=31, contagem= 6, fim=0
Simulation complete via $finish(1) at time 320 NS + 0
./contador_5b_tb.sv:54         #10 $finish;

